hash,createDB,sizeResult,buildTime
c39e70b66c0242fc75408e64c303716098adfb75f220cb99937f912a3a8f15c1946c9184f325628497464bcdd8fdd18ade1ad5d2ac7a9c802bbe3327db408317,1,37,0:01:40.412190_0
3d7941cb3b1a48e7087fc362332757462dc36cf7b9e7bdb532e2c449dd5645d9c48c5094983c9d92888e3da6852601f73b4cdf226a683113eb41e832e1fa0075,1,37,0:00:17.910906_0
f026e0cf5df2522a8db7737ac20ecc6060f68c63840f8548da860a8e6681df25e0046e02f89248ebfcfe50a97a5088bd6c3fce3af5c76632660b6a2684a4c0ab,1,37,0:00:12.966278_0
dc3b9ea323e33bf3661b9277e360d559482b87b83a87dded5be31b63afe354481a14b36b6f3da4235376522668584f15be4a068aab20cb4101222e45c9507944,1,37,0:00:24.651788_0
bb8a52148cdc4aea9d5b6206ae1e13c77261c76299c528cea3b396c8e02851bd51cf38c10a58393e2149bfc88bbee5eb4f8482c051101823e1817afb88425246,1,37,0:00:15.723406_0
060b469626a03f4d55fc0a8de1b9edccac5e01c1e530cf7cc1d5a0c52f733b660ae399ce4afbecca530d8b3a5dae50df80f325246c97252c2b6a021c0d96a1b8,1,37,0:00:19.714309_0
faa8c46e7e3464490513dac9bd15cc3f98a356fbc9fa8971c5617913297208c6501e3b0e21015906005ea87ac582f3119e0e964659a71eb6fefc5fba03a4400c,1,37,0:00:26.315208_0
d06c84306bfc03c2ea63ab57b7c61398f538a85049a77a48ea91b61792304f6704d06ae223e8f1f0e8b45b7552482ccf3c4c531d656a18bb8013ad76cfb8470f,1,37,0:00:15.282557_0
d72dbe126e6b15b03c77b11a3550437ad5120746e5eb5c449436604de13f167b91d6e73268a17ac269105033bf131c5b8feea3fa2fb13a5c123a5ef1d5eca380,1,37,0:00:15.568611_0
a8d300715b402948fbe9e2c91667c12e573fc4388e95936eb181f7aaccd70466f5e5dc66b8b00bfa3dc6076e5fab03c2e2419e5a1d9943976d8a7484b917025e,1,37,0:00:14.764334_0
d231b7df2fd14c278c8b63c61857ea5e0f092959ea4094d9ae08c9db04b53c91c00aaea93295b31cdcd47921aaa46c3637c0b7371eec240478bc5373f540f514,1,37,0:00:16.536906_0
3d4a9fbdfb5efed9ac70a9dc932228e5e5503617142ef2f144df04296af32c3f9deb7870fa2cb728e72b082690da7fe094a2c3bd2fd497f9a4dd4ac78f7ce3e7,1,201,0:00:21.133946_2022_07_02_17_19_22
b9303c4e4d1ced787d458cea2ff7e1f8ce58e31fdaa4e8677f0b8531add136e506988c12dec814d6c70af61f3ccd1b68016a580d57db77cf1576bd1ada58a358,1,37,0:00:16.441121_0
cfc741b4bacb752f1a6681f6809d1badd900edc8b9e6d05e433012b775c270d2a308c9f0eb9877eddf512f49b3b1bb4f4a761b898aeb0ea5fdda4a8483113105,1,37,0:00:13.316228_0
9612b68dbff460b2c3886a26bedff449b7c7227be658980c6d73a5950caf0a0606c9fbe3d1e5507b1da5457413cd7c48003c5d0426f6421a5b17dbcec4ae9ac3,1,37,0:00:25.288190_0
ceb474e2506530e053c6aae3c356b1167a080440aea3f1d65567db15ffb8bec70cc4ce11a521857a260b37f71865cce65f7b070298318e90f2f6dce8ead589fd,1,37,0:00:14.581628_0
